[489.0, 18.0]	[468.0, 30.0]	[484.5, 24.0]	[496.5, 21.0]	[508.5, 19.5]	[520.5, 19.5]	[532.5, 22.5]	[544.5, 28.5]	[544.5, 25.5]	[528.0, 18.0]	[508.5, 15.0]	[496.5, 16.5]	[484.5, 19.5]	[472.5, 27.0]	[460.5, 33.0]	[448.5, 36.0]	[444.0, 45.0]	[439.5, 51.0]	[414.0, 63.0]	[397.5, 75.0]	[393.0, 87.0]	[393.0, 99.0]	[382.5, 111.0]																																																																												
[912.0, 795.0]	[907.5, 798.0]																																																																																																	
[921.0, 796.5]	[910.5, 793.5]	[909.0, 781.5]	[907.5, 769.5]	[906.0, 757.5]	[904.5, 745.5]	[901.5, 733.5]	[901.5, 721.5]	[904.5, 709.5]	[897.0, 718.5]																																																																																									
[894.0, 703.5]	[894.0, 703.5]	[895.5, 715.5]	[897.0, 727.5]	[898.5, 739.5]	[900.0, 751.5]																																																																																													
[882.0, 778.5]	[885.0, 790.5]	[882.0, 778.5]	[880.5, 766.5]	[877.5, 754.5]	[876.0, 742.5]	[874.5, 730.5]	[873.0, 717.0]	[864.0, 703.5]	[864.0, 691.5]	[867.0, 679.5]	[862.5, 682.5]	[870.0, 687.0]	[870.0, 699.0]	[873.0, 699.0]	[868.5, 711.0]	[870.0, 723.0]	[870.0, 735.0]																																																																																	
[867.0, 700.5]	[867.0, 688.5]	[870.0, 687.0]																																																																																																
[912.0, 663.0]	[924.0, 669.0]	[924.0, 664.5]	[912.0, 660.0]	[913.5, 667.5]	[915.0, 655.5]	[912.0, 643.5]	[910.5, 631.5]	[906.0, 630.0]	[904.5, 618.0]	[903.0, 606.0]	[901.5, 594.0]	[901.5, 592.5]	[906.0, 594.0]	[907.5, 606.0]	[909.0, 619.5]																																																																																			
[886.5, 639.0]	[888.0, 646.5]	[885.0, 637.5]	[897.0, 642.0]	[898.5, 649.5]	[897.0, 643.5]	[888.0, 631.5]	[885.0, 619.5]	[883.5, 607.5]	[882.0, 595.5]	[880.5, 583.5]	[880.5, 570.0]	[874.5, 568.5]																																																																																						
[873.0, 556.5]	[874.5, 568.5]	[876.0, 580.5]	[877.5, 592.5]	[879.0, 604.5]	[880.5, 616.5]	[883.5, 628.5]	[886.5, 640.5]	[894.0, 652.5]																																																																																										
[867.0, 624.0]	[855.0, 613.5]	[858.0, 618.0]	[858.0, 612.0]	[856.5, 598.5]	[855.0, 586.5]	[853.5, 574.5]	[852.0, 562.5]	[855.0, 550.5]	[856.5, 549.0]	[844.5, 538.5]	[844.5, 538.5]	[844.5, 550.5]	[847.5, 562.5]	[849.0, 574.5]	[850.5, 586.5]	[852.0, 598.5]	[853.5, 610.5]	[856.5, 622.5]																																																																																
[838.5, 655.5]	[826.5, 649.5]	[826.5, 649.5]	[841.5, 661.5]	[840.0, 670.5]	[837.0, 682.5]	[838.5, 694.5]	[840.0, 706.5]	[841.5, 718.5]	[843.0, 730.5]	[844.5, 742.5]	[846.0, 754.5]	[846.0, 766.5]	[852.0, 774.0]	[852.0, 769.5]	[844.5, 771.0]	[841.5, 765.0]																																																																																		
[811.5, 750.0]	[799.5, 748.5]	[799.5, 750.0]	[798.0, 745.5]																																																																																															
[784.5, 730.5]	[772.5, 726.0]																																																																																																	
[754.5, 720.0]	[742.5, 708.0]	[730.5, 702.0]																																																																																																
[735.0, 754.5]	[759.0, 766.5]	[762.0, 784.5]	[769.5, 783.0]	[781.5, 784.5]	[793.5, 789.0]	[805.5, 793.5]	[817.5, 798.0]	[829.5, 802.5]	[841.5, 807.0]	[853.5, 811.5]	[865.5, 816.0]	[877.5, 820.5]	[889.5, 825.0]	[901.5, 829.5]	[913.5, 834.0]	[925.5, 838.5]	[937.5, 843.0]	[949.5, 847.5]	[961.5, 852.0]	[973.5, 856.5]																																																																														
[853.5, 862.5]	[853.5, 874.5]	[855.0, 886.5]	[858.0, 898.5]	[858.0, 910.5]	[861.0, 922.5]																																																																																													
[880.5, 957.0]	[882.0, 969.0]	[876.0, 976.5]	[871.5, 985.5]	[883.5, 987.0]	[885.0, 979.5]	[876.0, 990.0]	[870.0, 981.0]	[870.0, 982.5]	[873.0, 970.5]	[871.5, 958.5]	[868.5, 946.5]	[867.0, 934.5]	[865.5, 922.5]	[864.0, 910.5]	[862.5, 897.0]	[861.0, 885.0]	[862.5, 873.0]	[865.5, 865.5]	[853.5, 862.5]																																																																															
[810.0, 850.5]	[811.5, 862.5]	[813.0, 874.5]	[813.0, 886.5]	[816.0, 900.0]	[817.5, 912.0]	[819.0, 924.0]																																																																																												
[771.0, 942.0]	[772.5, 954.0]	[774.0, 966.0]	[780.0, 963.0]																																																																																															
[777.0, 982.5]	[765.0, 982.5]	[753.0, 982.5]																																																																																																
[789.0, 1015.5]	[801.0, 1015.5]																																																																																																	
[826.5, 990.0]	[838.5, 990.0]	[841.5, 985.5]	[829.5, 985.5]																																																																																															
[846.0, 978.0]	[834.0, 981.0]	[828.0, 978.0]	[826.5, 984.0]	[831.0, 969.0]	[829.5, 957.0]	[828.0, 945.0]	[826.5, 933.0]	[825.0, 921.0]	[823.5, 909.0]	[823.5, 895.5]	[822.0, 883.5]	[820.5, 871.5]	[825.0, 859.5]	[822.0, 853.5]	[810.0, 850.5]																																																																																			
[751.5, 880.5]	[739.5, 877.5]	[738.0, 870.0]	[750.0, 876.0]																																																																																															
[757.5, 825.0]	[745.5, 822.0]	[733.5, 820.5]	[733.5, 820.5]	[733.5, 832.5]	[735.0, 844.5]	[736.5, 856.5]	[736.5, 868.5]	[738.0, 880.5]	[739.5, 892.5]	[741.0, 904.5]	[741.0, 916.5]	[742.5, 928.5]	[744.0, 940.5]	[745.5, 952.5]	[745.5, 964.5]	[753.0, 973.5]	[747.0, 976.5]	[754.5, 978.0]	[766.5, 978.0]	[778.5, 978.0]																																																																														
[753.0, 817.5]	[741.0, 814.5]	[729.0, 811.5]	[727.5, 808.5]	[739.5, 810.0]	[751.5, 813.0]	[757.5, 826.5]	[750.0, 838.5]	[748.5, 850.5]	[750.0, 862.5]	[751.5, 874.5]	[751.5, 888.0]	[753.0, 900.0]	[754.5, 912.0]	[756.0, 924.0]	[757.5, 936.0]	[757.5, 948.0]	[759.0, 960.0]	[753.0, 973.5]	[765.0, 975.0]	[777.0, 975.0]																																																																														
[592.5, 985.5]	[580.5, 988.5]	[568.5, 987.0]																																																																																																
[583.5, 976.5]	[571.5, 976.5]	[559.5, 976.5]	[547.5, 976.5]	[535.5, 976.5]	[523.5, 976.5]	[511.5, 976.5]	[507.0, 970.5]	[519.0, 967.5]	[531.0, 966.0]	[543.0, 964.5]																																																																																								
